# min	max
0.0829 0.0829
0.0768 0.0768
0.0634 0.0634
0.0442 0.0442
0.0521 0.0521
0.0779 0.0779
0.0962 0.0962
0.0952 0.0952
0.5014 0.5014
0.7853 0.7853
0.5199 0.5199
0.6495 0.6495
0.8971 0.8971
0.7115 0.7115
0.6606 0.6606
0.5400 0.5400
0.5455 0.5455
0.5144 0.5144
0.8239 0.8239
0.0419 0.0419
0.0338 0.0338
