# min	max
0.0382 0.0971
0.0362 0.0985
0.0363 0.0984
0.0479 0.0945
0.0574 0.0698
0.0452 0.0861
0.0295 0.0974
0.0262 0.0965
0.1900 0.7074
0.1634 0.7457
0.0492 0.6924
0.3481 0.9283
0.2228 0.9288
0.1287 0.9463
0.7182 0.8476
0.6922 0.8392
0.6132 0.8817
0.1529 0.9839
0.1449 1.6116
0.0001 0.0083
0.0011 0.0234
