# min	max
0.0385 0.0810
0.0627 0.0786
0.0373 0.1005
0.0479 0.0961
0.0657 0.1105
0.0861 0.1110
0.0746 0.0974
0.0563 0.0965
0.0649 0.5035
0.0632 0.7457
0.0469 0.6924
0.1653 0.8881
0.1735 0.9173
0.1569 0.9107
0.7952 0.8476
0.7840 0.8298
0.8050 0.8256
0.0855 0.6621
0.2332 0.8313
0.0001 0.0422
0.0011 0.0345
