# min	max
0.0406 0.0971
0.0627 0.0985
0.0373 0.0984
0.0479 0.0945
0.0574 0.0698
0.0452 0.0861
0.0295 0.0974
0.0262 0.0965
0.3306 0.7074
0.1634 0.7457
0.0492 0.6924
0.6805 0.9283
0.2228 0.9288
0.1287 0.9463
0.8194 0.8476
0.8298 0.8392
0.8256 0.8817
0.5471 0.9839
0.1449 1.6116
0.0001 0.0083
0.0011 0.0234
