# min	max
0.0107 0.0538
0.0250 0.0895
0.0695 0.1005
0.0912 0.0961
0.0953 0.1105
0.0888 0.1110
0.0420 0.0788
0.0132 0.0563
0.0124 0.1148
0.0106 0.1199
0.0136 0.0598
0.0229 0.7085
0.0190 0.8535
0.1569 0.8428
0.5704 0.8169
0.5592 0.8135
0.4871 0.8238
0.0172 0.1145
0.1442 0.2332
0.0022 0.0422
0.0045 0.0345
