# min	max
0.0107 0.0971
0.0250 0.0985
0.0695 0.1005
0.0828 0.0961
0.0574 0.1105
0.0452 0.1110
0.0295 0.0808
0.0132 0.0944
0.0124 0.7074
0.0106 0.6736
0.0136 0.4060
0.0229 0.9283
0.0190 0.9288
0.1287 0.9463
0.5704 0.8327
0.5592 0.8392
0.4871 0.8817
0.0172 0.9839
0.1442 1.6116
0.0004 0.0422
0.0012 0.0345
