# min	max
0.0107 0.0810
0.0250 0.0895
0.0373 0.0979
0.0479 0.0945
0.0574 0.0961
0.0452 0.0965
0.0295 0.0974
0.0132 0.0965
0.0124 0.5035
0.0106 0.7457
0.0136 0.6924
0.0229 0.8881
0.0190 0.9173
0.1287 0.9107
0.5704 0.8476
0.5592 0.8392
0.4871 0.8817
0.0172 0.6621
0.1442 0.8313
0.0001 0.0138
0.0011 0.0234
