# min	max
0.0698 0.0971
0.0627 0.0985
0.0373 0.0984
0.0479 0.0836
0.0554 0.0698
0.0410 0.0861
0.0391 0.0974
0.0502 0.0965
0.4938 0.7074
0.4790 0.7457
0.1286 0.6924
0.8296 0.9283
0.6130 0.9288
0.3779 0.9463
0.8243 0.8476
0.8298 0.8326
0.8256 0.8689
0.4101 0.9839
0.5175 1.6116
0.0001 0.0054
0.0011 0.0161
