timestamp,lidars_0,lidars_1,lidars_2,lidars_3,lidars_4,lidars_5,lidars_6,lidars_7,coords,wheels_0,wheels_1
2026-08-06 11:35:31.007643,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.044201,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.060207,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.084735,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.099606,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.118491,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.133478,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.147363,0.1,0.1,0.079,0.1,0.1,0.1,0.1,0.1,,0.0,0.0
2026-08-06 11:35:31.214062,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,0.0,0.0
2026-08-06 11:35:31.233752,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.265831,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.280996,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.294141,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.308183,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.321737,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.332114,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.349181,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.364330,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.378633,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.396315,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.412600,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.430816,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.447586,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.462367,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.478099,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.496292,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.511801,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.529843,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.546593,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.563349,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.577972,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.594004,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.614683,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.626596,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.645735,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.661390,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.678659,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.694348,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.710899,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.727885,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.743226,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.760834,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.771479,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.777312,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.794506,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.811314,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.827112,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.844204,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
2026-08-06 11:35:31.861453,0.1,0.1,0.07900000000000001,0.1,0.1,0.1,0.1,0.1,False,10,-10
