CONTINUATION FROM SESSION: logs\2026-09-18_12-52
----------------------------------------------------------------------------------------------------
start time: 21-09-2026 01:07:25 | end time: 21-09-2026 01:07:31 | duration: 00:00:05
runs: 0; brain updates: 0
Skill Name           | True Positive   | True Negative   | false Positive  | false Negative  | Total          
----------------------------------------------------------------------------------------------------
Start                | 0               | 0               | 0               | 0               | 0         
Find_the_Door        | 0               | 0               | 0               | 0               | 0         
Go_to_the_Door       | 0               | 0               | 0               | 0               | 0         
Open_the_Door        | 0               | 0               | 0               | 0               | 0         
Find_the_Goal        | 0               | 0               | 0               | 0               | 0         
Go_to_the_Goal       | 0               | 0               | 0               | 0               | 0         
Finish               | 0               | 0               | 0               | 0               | 0         
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------
tests: 100, successes: 0
Test                 | Plan Length     | Steps Executed  | Last Action     | Duration [s]    | Result         
1                    | 7               | 0               | -               | 4.060           | 0         
2                    | 7               | 0               | -               | 3.437           | 0         
3                    | 7               | 0               | -               | 3.473           | 0         
4                    | 7               | 0               | -               | 3.138           | 0         
5                    | 7               | 0               | -               | 3.036           | 0         
6                    | 7               | 0               | -               | 2.993           | 0         
7                    | 7               | 0               | -               | 2.987           | 0         
8                    | 7               | 0               | -               | 2.998           | 0         
9                    | 7               | 0               | -               | 3.953           | 0         
10                   | 7               | 0               | -               | 3.759           | 0         
11                   | 7               | 0               | -               | 3.529           | 0         
12                   | 7               | 0               | -               | 3.968           | 0         
13                   | 7               | 0               | -               | 3.086           | 0         
14                   | 7               | 0               | -               | 3.046           | 0         
15                   | 7               | 0               | -               | 3.367           | 0         
16                   | 7               | 0               | -               | 3.170           | 0         
17                   | 7               | 0               | -               | 3.907           | 0         
18                   | 7               | 0               | -               | 4.625           | 0         
19                   | 7               | 0               | -               | 5.002           | 0         
20                   | 7               | 0               | -               | 3.992           | 0         
21                   | 7               | 0               | -               | 3.433           | 0         
22                   | 7               | 0               | -               | 3.458           | 0         
23                   | 7               | 2               | Find_the_Door   | 7.397           | 0         
24                   | 7               | 0               | -               | 4.698           | 0         
25                   | 7               | 0               | -               | 3.917           | 0         
26                   | 7               | 0               | -               | 3.731           | 0         
27                   | 7               | 0               | -               | 4.439           | 0         
28                   | 7               | 0               | -               | 3.757           | 0         
29                   | 7               | 0               | -               | 4.038           | 0         
30                   | 7               | 0               | -               | 3.438           | 0         
31                   | 7               | 0               | -               | 3.263           | 0         
32                   | 7               | 0               | -               | 3.723           | 0         
33                   | 7               | 0               | -               | 3.427           | 0         
34                   | 7               | 1               | Start           | 3.415           | 0         
35                   | 7               | 0               | -               | 3.488           | 0         
36                   | 7               | 0               | -               | 3.111           | 0         
37                   | 7               | 0               | -               | 3.020           | 0         
38                   | 7               | 0               | -               | 3.041           | 0         
39                   | 7               | 0               | -               | 3.490           | 0         
40                   | 7               | 0               | -               | 3.457           | 0         
41                   | 7               | 0               | -               | 3.557           | 0         
42                   | 7               | 0               | -               | 3.548           | 0         
43                   | 7               | 0               | -               | 3.327           | 0         
44                   | 7               | 0               | -               | 3.522           | 0         
45                   | 7               | 0               | -               | 3.249           | 0         
46                   | 7               | 0               | -               | 3.104           | 0         
47                   | 7               | 0               | -               | 3.064           | 0         
48                   | 7               | 0               | -               | 3.382           | 0         
49                   | 7               | 0               | -               | 3.428           | 0         
50                   | 7               | 0               | -               | 3.799           | 0         
51                   | 7               | 0               | -               | 4.110           | 0         
52                   | 7               | 0               | -               | 3.775           | 0         
53                   | 7               | 0               | -               | 3.343           | 0         
54                   | 7               | 0               | -               | 2.994           | 0         
55                   | 7               | 0               | -               | 3.092           | 0         
56                   | 7               | 0               | -               | 3.277           | 0         
57                   | 7               | 0               | -               | 3.414           | 0         
58                   | 7               | 0               | -               | 3.426           | 0         
