CONTINUATION FROM SESSION: logs\2026-09-11_17-01
----------------------------------------------------------------------------------------------------
start time: 11-09-2026 17:06:41 | end time: 11-09-2026 18:27:48 | duration: 01:21:07
runs: 2000; brain updates: 95
Skill Name           | True Positive   | True Negative   | false Positive  | false Negative  | Total          
----------------------------------------------------------------------------------------------------
Start                | 141             | 203             | 224             | 9               | 577       
Find_the_Door        | 371             | 0               | 345             | 0               | 716       
Aproach_the_Door     | 19              | 365             | 68              | 26              | 478       
Open_the_Door        | 2               | 414             | 11              | 8               | 435       
Find_the_Goal        | 347             | 94              | 212             | 30              | 683       
Aproach_the_Goal     | 0               | 286             | 5               | 9               | 300       
Finish               | 3               | 3181            | 5               | 0               | 3189      
----------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------
Test                 | Plan Length     | Steps Executed  | Last Action     | Duration [s]    | Result         
1                    | 0               | 0               | -               | 1.301           | 0         
2                    | 0               | 0               | -               | 1.329           | 0         
3                    | 0               | 0               | -               | 1.308           | 0         
4                    | 0               | 0               | -               | 1.294           | 0         
5                    | 0               | 0               | -               | 1.053           | 0         
6                    | 0               | 0               | -               | 1.298           | 0         
7                    | 0               | 0               | -               | 1.316           | 0         
8                    | 0               | 0               | -               | 1.069           | 0         
9                    | 0               | 0               | -               | 1.303           | 0         
10                   | 0               | 0               | -               | 1.287           | 0         
11                   | 0               | 0               | -               | 1.295           | 0         
12                   | 0               | 0               | -               | 1.328           | 0         
13                   | 0               | 0               | -               | 1.069           | 0         
14                   | 0               | 0               | -               | 1.049           | 0         
15                   | 0               | 0               | -               | 1.321           | 0         
16                   | 0               | 0               | -               | 1.078           | 0         
17                   | 0               | 0               | -               | 1.335           | 0         
18                   | 0               | 0               | -               | 1.310           | 0         
19                   | 0               | 0               | -               | 1.339           | 0         
20                   | 0               | 0               | -               | 1.059           | 0         
21                   | 0               | 0               | -               | 1.049           | 0         
22                   | 0               | 0               | -               | 1.371           | 0         
23                   | 0               | 0               | -               | 1.513           | 0         
24                   | 0               | 0               | -               | 1.380           | 0         
25                   | 0               | 0               | -               | 1.386           | 0         
26                   | 0               | 0               | -               | 1.068           | 0         
27                   | 0               | 0               | -               | 1.059           | 0         
28                   | 0               | 0               | -               | 1.494           | 0         
29                   | 0               | 0               | -               | 1.052           | 0         
30                   | 0               | 0               | -               | 1.305           | 0         
31                   | 0               | 0               | -               | 1.294           | 0         
32                   | 0               | 0               | -               | 1.059           | 0         
33                   | 0               | 0               | -               | 1.361           | 0         
34                   | 0               | 0               | -               | 1.297           | 0         
35                   | 0               | 0               | -               | 1.279           | 0         
36                   | 0               | 0               | -               | 1.322           | 0         
37                   | 0               | 0               | -               | 1.307           | 0         
38                   | 0               | 0               | -               | 1.059           | 0         
39                   | 0               | 0               | -               | 1.057           | 0         
40                   | 0               | 0               | -               | 1.297           | 0         
41                   | 0               | 0               | -               | 1.078           | 0         
42                   | 0               | 0               | -               | 1.055           | 0         
43                   | 0               | 0               | -               | 1.287           | 0         
44                   | 0               | 0               | -               | 1.333           | 0         
45                   | 0               | 0               | -               | 1.302           | 0         
46                   | 0               | 0               | -               | 1.348           | 0         
47                   | 0               | 0               | -               | 1.296           | 0         
48                   | 0               | 0               | -               | 1.057           | 0         
49                   | 0               | 0               | -               | 1.331           | 0         
50                   | 0               | 0               | -               | 1.298           | 0         
51                   | 0               | 0               | -               | 1.266           | 0         
52                   | 0               | 0               | -               | 1.066           | 0         
53                   | 0               | 0               | -               | 1.055           | 0         
54                   | 0               | 0               | -               | 1.060           | 0         
55                   | 0               | 0               | -               | 1.298           | 0         
56                   | 0               | 0               | -               | 1.046           | 0         
57                   | 0               | 0               | -               | 1.068           | 0         
58                   | 0               | 0               | -               | 1.291           | 0         
59                   | 0               | 0               | -               | 1.289           | 0         
60                   | 0               | 0               | -               | 1.044           | 0         
61                   | 0               | 0               | -               | 1.349           | 0         
62                   | 0               | 0               | -               | 1.054           | 0         
63                   | 0               | 0               | -               | 1.328           | 0         
64                   | 0               | 0               | -               | 1.267           | 0         
65                   | 0               | 0               | -               | 1.060           | 0         
66                   | 0               | 0               | -               | 1.315           | 0         
67                   | 0               | 0               | -               | 1.288           | 0         
68                   | 0               | 0               | -               | 1.342           | 0         
69                   | 0               | 0               | -               | 1.071           | 0         
70                   | 0               | 0               | -               | 1.485           | 0         
71                   | 0               | 0               | -               | 1.426           | 0         
72                   | 0               | 0               | -               | 1.416           | 0         
73                   | 0               | 0               | -               | 1.317           | 0         
74                   | 0               | 0               | -               | 1.064           | 0         
75                   | 0               | 0               | -               | 1.283           | 0         
76                   | 0               | 0               | -               | 1.290           | 0         
77                   | 0               | 0               | -               | 1.269           | 0         
78                   | 0               | 0               | -               | 1.317           | 0         
79                   | 0               | 0               | -               | 1.320           | 0         
80                   | 0               | 0               | -               | 1.415           | 0         
81                   | 0               | 0               | -               | 1.076           | 0         
82                   | 0               | 0               | -               | 1.292           | 0         
83                   | 0               | 0               | -               | 1.339           | 0         
84                   | 0               | 0               | -               | 1.286           | 0         
85                   | 0               | 0               | -               | 1.054           | 0         
86                   | 0               | 0               | -               | 1.288           | 0         
87                   | 0               | 0               | -               | 1.278           | 0         
88                   | 0               | 0               | -               | 1.057           | 0         
89                   | 0               | 0               | -               | 1.067           | 0         
90                   | 0               | 0               | -               | 1.278           | 0         
91                   | 0               | 0               | -               | 1.297           | 0         
92                   | 0               | 0               | -               | 1.057           | 0         
93                   | 0               | 0               | -               | 1.056           | 0         
94                   | 0               | 0               | -               | 1.298           | 0         
95                   | 0               | 0               | -               | 1.061           | 0         
96                   | 0               | 0               | -               | 1.316           | 0         
97                   | 0               | 0               | -               | 1.050           | 0         
98                   | 0               | 0               | -               | 1.324           | 0         
99                   | 0               | 0               | -               | 1.296           | 0         
100                  | 0               | 0               | -               | 1.288           | 0         
tests: 100, successes: 0
